"HTMLFile","RelativePath","FullPath","Exists","FileSize"
"index.html","../../assets/images/branding/zenmirror-logo.png","D:\Projects\ZenMirror_20250916\assets\images\branding\zenmirror-logo.png","True","275604"
"index.html","../../assets/images/product/zenmirror-device.png","D:\Projects\ZenMirror_20250916\assets\images\product\zenmirror-device.png","True","1048426"
"index.html","./assets/video-thumbnail.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\video-thumbnail.jpg","True","138"
"index.html","./assets/traditional-wearables.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\traditional-wearables.jpg","True","5146"
"index.html","./assets/zenmirror-setup.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\zenmirror-setup.jpg","False","N/A"
"index.html","./assets/icons/radar-waves.svg","D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\icons\radar-waves.svg","True","1328"
"index.html","./assets/icons/heart-monitoring.svg","D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\icons\heart-monitoring.svg","True","810"
"index.html","./assets/icons/privacy-shield.svg","D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\icons\privacy-shield.svg","True","986"
"index.html","./assets/tech-diagram.svg","D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\tech-diagram.svg","True","6200"
"index.html","../../assets/images/mentors/zen-master.png","D:\Projects\ZenMirror_20250916\assets\images\mentors\zen-master.png","True","1581706"
"index.html","./assets/icons/zen-circle.svg","D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\icons\zen-circle.svg","True","815"
"index.html","../../assets/images/mentors/yogi.png","D:\Projects\ZenMirror_20250916\assets\images\mentors\yogi.png","True","1782691"
"index.html","./assets/icons/lotus.svg","D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\icons\lotus.svg","True","2237"
"index.html","../../assets/images/mentors/chaplain.png","D:\Projects\ZenMirror_20250916\assets\images\mentors\chaplain.png","True","1418849"
"index.html","./assets/icons/dove.svg","D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\icons\dove.svg","True","1166"
